#time redshift x  y z
5.6618 1.0676 34303.6493 33653.2032 35105.8820 
5.6672 1.0662 34326.9553 33675.0879 35130.3510 
5.6726 1.0648 34350.0841 33697.1531 35154.5950 
5.6779 1.0634 34373.1950 33719.1464 35178.9975 
5.6833 1.0620 34396.3056 33741.0172 35203.3722 
5.6887 1.0605 34419.4270 33763.2306 35227.4356 
5.6941 1.0591 34442.5053 33785.0934 35251.7883 
5.6995 1.0577 34465.7686 33806.9831 35276.0011 
5.7048 1.0563 34488.7754 33828.8536 35300.3369 
5.7102 1.0549 34511.8289 33850.7132 35324.6610 
5.7156 1.0535 34534.8438 33872.5708 35348.9718 
5.7210 1.0521 34557.6518 33894.6253 35373.1625 
5.7264 1.0507 34580.6961 33916.1923 35397.5390 
5.7318 1.0493 34596.4060 33939.2454 35421.6036 
5.7371 1.0479 34620.9946 33960.8047 35445.8082 
5.7425 1.0465 34644.2739 33982.5908 35470.2214 
5.7479 1.0451 34667.1703 34004.6194 35494.4319 
5.7533 1.0438 34689.7710 34026.6330 35518.7146 
5.7587 1.0424 34712.6581 34048.6889 35542.8925 
5.7640 1.0410 34735.4658 34070.5411 35567.1737 
5.7694 1.0396 34758.3786 34092.1670 35591.4905 
5.7748 1.0382 34780.9890 34114.1519 35615.7418 
5.7802 1.0369 34803.4969 34136.4250 35640.0529 
5.7856 1.0355 34822.3809 34157.0819 35662.9895 
5.7909 1.0341 34845.3570 34178.7122 35687.3502 
5.7963 1.0327 34867.8077 34200.8902 35711.6190 
5.8017 1.0314 34890.2698 34222.9849 35735.8236 
5.8071 1.0300 34912.7173 34244.9516 35760.0146 
5.8125 1.0286 34935.0098 34267.1345 35784.3043 
5.8178 1.0273 34955.7177 34283.1555 35808.1265 
5.8232 1.0259 34977.9647 34305.7920 35832.3937 
5.8286 1.0245 35000.1095 34328.7293 35856.6515 
5.8340 1.0232 35022.4226 34351.4347 35880.9576 
5.8394 1.0218 35044.7557 34374.2894 35905.2152 
5.8447 1.0205 35067.1520 34396.6404 35929.6664 
5.8501 1.0191 35089.6841 34419.3934 35953.9574 
5.8555 1.0178 35112.3757 34441.8500 35978.3037 
5.8609 1.0164 35138.8612 34469.6996 36003.3225 
5.8663 1.0151 35160.7458 34492.4632 36027.3708 
5.8716 1.0137 35183.4994 34514.8799 36051.5987 
5.8770 1.0124 35206.1133 34537.4453 36075.8927 
5.8824 1.0111 35229.1985 34559.3914 36100.3284 
5.8878 1.0097 35252.0973 34581.9890 36124.6338 
5.8932 1.0084 35274.9881 34604.4930 36148.9816 
5.8986 1.0071 35297.8947 34626.9965 36173.2937 
5.9039 1.0057 35320.7226 34649.6457 36197.6113 
5.9093 1.0044 35343.4077 34672.1625 36221.9417 
5.9147 1.0031 35366.2846 34694.4746 36246.3643 
5.9201 1.0017 35389.3704 34716.4356 36270.8463 
5.9255 1.0004 35412.3228 34738.4603 36295.2459 
5.9308 0.9991 35435.5468 34760.2284 36319.6795 
5.9362 0.9978 35458.8704 34781.6117 36344.0829 
5.9416 0.9964 35486.7165 34811.5261 36367.8232 
5.9470 0.9951 35509.5364 34834.0316 36392.1219 
5.9524 0.9938 35532.2193 34856.6318 36416.3150 
5.9577 0.9925 35555.2015 34878.4872 36440.7190 
5.9631 0.9912 35578.2472 34900.5334 36465.0752 
5.9685 0.9899 35601.3464 34922.6928 36489.3832 
5.9739 0.9886 35623.9931 34945.2721 36513.6611 
5.9793 0.9873 35646.7720 34967.4069 36537.9681 
5.9846 0.9860 35669.6583 34989.8249 36562.2553 
5.9900 0.9847 35692.9359 35011.7427 36586.5701 
5.9954 0.9834 35716.1104 35033.7046 36610.9802 
6.0008 0.9821 35739.3967 35055.5913 36635.2465 
6.0062 0.9808 35762.9071 35077.2199 36659.6316 
6.0115 0.9795 35786.3337 35098.6513 36683.8307 
6.0169 0.9782 35813.8053 35125.2191 36709.6899 
6.0223 0.9769 35835.9748 35148.2064 36733.8458 
6.0277 0.9756 35859.1444 35170.4955 36758.1105 
6.0331 0.9743 35882.0977 35192.7254 36782.3236 
6.0384 0.9730 35904.8760 35215.2370 36806.6068 
6.0438 0.9717 35928.1667 35237.3765 36830.8177 
6.0492 0.9704 35951.0562 35259.6223 36855.0516 
6.0546 0.9692 35974.1481 35281.9269 36879.3289 
6.0600 0.9679 35997.3694 35304.0280 36903.6174 
6.0653 0.9666 36020.4479 35326.2429 36927.8337 
6.0707 0.9653 36043.3937 35348.5456 36952.1632 
6.0761 0.9641 36066.1972 35370.9238 36976.3753 
6.0815 0.9628 36089.4210 35392.7841 37000.7339 
6.0869 0.9615 36112.5788 35414.9372 37025.0363 
6.0923 0.9602 36135.5702 35437.3391 37049.2591 
6.0976 0.9590 36159.0283 35458.7531 37073.3629 
6.1030 0.9577 36182.4452 35480.3066 37097.5110 
6.1084 0.9564 36206.5913 35500.0926 37121.6517 
6.1138 0.9552 36230.1879 35521.2009 37145.8185 
6.1192 0.9539 36253.2017 35542.3715 37170.0900 
6.1245 0.9527 36278.2496 35572.2259 37196.0696 
6.1299 0.9514 36301.0252 35594.5196 37220.3880 
6.1353 0.9502 36324.1249 35616.6469 37244.5579 
6.1407 0.9489 36346.9650 35638.8596 37268.8731 
6.1461 0.9477 36370.0934 35661.0535 37293.0473 
6.1514 0.9464 36392.9827 35683.3433 37317.3577 
6.1568 0.9452 36416.2236 35705.4214 37341.5100 
6.1622 0.9439 36439.3916 35727.5395 37365.7596 
6.1676 0.9427 36462.8833 35749.1659 37390.0741 
6.1730 0.9414 36485.5420 35771.8883 37414.2791 
6.1783 0.9402 36508.9025 35793.7110 37438.5763 
6.1837 0.9389 36531.8987 35815.8272 37462.8200 
6.1891 0.9377 36555.0705 35837.9370 37487.0776 
6.1945 0.9365 36578.6017 35859.5055 37511.4398 
6.1999 0.9352 36601.8243 35881.3924 37535.5870 
6.2052 0.9340 36625.1801 35903.0230 37559.8157 
6.2106 0.9328 36648.3963 35924.7844 37584.0088 
